crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat
0.01538,90.0,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
0.01501,90.0,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16
0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13
1.6566,0.0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1
13.6781,0.0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02
0.17331,0.0,9.69,0,0.585,5.707,54.0,2.3817,6,391,19.2,396.9,12.01
1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32
1.80028,0.0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,227.61,12.14
0.05644,40.0,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,396.9,3.53
0.22969,0.0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97
0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5
0.12579,45.0,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56
14.4208,0.0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05
4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68
2.37934,0.0,19.58,0,0.871,6.13,100.0,1.4191,5,403,14.7,172.91,27.8
0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98
6.44405,0.0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03
24.8017,0.0,18.1,0,0.693,5.349,96.0,1.7028,24,666,20.2,396.9,19.77
0.02899,40.0,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89
5.58107,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
51.1358,0.0,18.1,0,0.597,5.757,100.0,1.413,24,666,20.2,2.6,10.11
0.05479,33.0,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,393.36,8.93
0.00906,90.0,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85
0.05023,35.0,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43
0.06664,0.0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33
25.9406,0.0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64
4.22239,0.0,18.1,1,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64
0.44178,0.0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76
14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666,20.2,179.36,19.78
0.29819,0.0,6.2,0,0.504,7.686,17.0,3.3751,8,307,17.4,377.51,3.92
0.14866,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42
7.40389,0.0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4
0.04981,21.0,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43
0.41238,0.0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36
8.05579,0.0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14
0.10959,0.0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21.0,393.45,6.48
1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403,14.7,321.02,15.12
0.21409,22.0,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59
1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403,14.7,353.89,6.43
0.16211,20.0,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59
0.12269,0.0,6.91,0,0.448,6.069,40.0,5.7209,3,233,17.9,389.39,9.55
4.83567,0.0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45
0.22212,0.0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09
25.0461,0.0,18.1,0,0.693,5.987,100.0,1.5888,24,666,20.2,396.9,26.77
0.37578,0.0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98
0.12802,0.0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27
2.44953,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32
0.08387,0.0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1
15.0234,0.0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91
0.05059,0.0,4.49,0,0.449,6.389,48.0,4.7794,3,247,18.5,396.9,9.62
0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,15.2,386.63,29.93
1.38799,0.0,8.14,0,0.538,5.95,82.0,3.99,4,307,21.0,232.6,27.71
0.0686,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18.0,396.9,6.19
22.0511,0.0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11
10.8342,0.0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
0.62356,0.0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93
0.77299,0.0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21.0,387.94,12.8
0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14
18.4982,0.0,18.1,0,0.668,4.138,100.0,1.137,24,666,20.2,396.9,37.97
0.01311,90.0,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81
5.82401,0.0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74
5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666,20.2,395.28,7.01
18.0846,0.0,18.1,0,0.679,6.434,100.0,1.8347,24,666,20.2,27.25,29.05
0.25387,0.0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81
73.5341,0.0,18.1,0,0.679,5.957,100.0,1.8026,24,666,20.2,16.45,20.62
5.20177,0.0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48
1.15172,0.0,8.14,0,0.538,5.701,95.0,3.7872,4,307,21.0,358.77,18.35
0.06417,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68
0.1265,25.0,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5
41.5292,0.0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
2.63548,0.0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,350.45,12.64
0.44791,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05
0.17899,0.0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,393.29,17.6
0.17142,0.0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21
0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86
0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29
0.11425,0.0,13.89,1,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5
5.44114,0.0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73
0.05372,0.0,13.92,0,0.437,6.549,51.0,5.9604,4,289,16.0,392.85,7.39
0.85204,0.0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21.0,392.53,13.83
0.16439,22.0,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52
0.3494,0.0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97
0.0315,95.0,1.47,0,0.403,6.975,15.3,7.6534,3,402,17.0,396.9,4.56
0.35233,0.0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59
0.75026,0.0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21.0,394.33,16.3
0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391.0,13.98
0.13642,0.0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87
0.97617,0.0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31
0.05561,70.0,2.24,0,0.4,7.041,10.0,7.8278,5,358,14.8,371.58,4.74
0.13158,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04
0.21719,0.0,10.59,1,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03
8.20058,0.0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94
13.9134,0.0,18.1,0,0.713,6.208,95.0,2.2222,24,666,20.2,100.63,15.17
9.72418,0.0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,385.96,19.52
0.46296,0.0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25
0.07013,0.0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69
0.02055,85.0,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77
3.77498,0.0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,22.01,17.15
14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666,20.2,396.9,20.32
11.1081,0.0,18.1,0,0.668,4.906,100.0,1.1742,24,666,20.2,396.9,34.77
9.39063,0.0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88
0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
0.12083,0.0,2.89,0,0.445,8.069,76.0,3.4952,2,276,18.0,396.9,4.21
0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45
0.07978,40.0,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19
0.13058,0.0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37
9.18702,0.0,18.1,0,0.7,5.536,100.0,1.5804,24,666,20.2,396.9,23.6
1.20742,0.0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43
15.1772,0.0,18.1,0,0.74,6.152,100.0,1.9142,24,666,20.2,9.32,26.45
0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8
0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
0.24103,0.0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79
0.01439,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
0.03768,80.0,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62
4.54192,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79
3.56868,0.0,18.1,0,0.58,6.437,75.0,2.8965,24,666,20.2,393.37,14.36
0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
45.7461,0.0,18.1,0,0.693,4.519,100.0,1.6582,24,666,20.2,88.27,36.98
0.04301,80.0,1.91,0,0.413,5.663,21.9,10.5857,4,334,22.0,382.8,8.05
0.21161,0.0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44
0.35809,0.0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,391.7,9.71
0.34006,0.0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,395.04,12.6
0.01709,90.0,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,384.46,4.5
0.03306,0.0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51
4.89822,0.0,18.1,0,0.631,4.97,100.0,1.3325,24,666,20.2,375.52,3.26
0.14932,25.0,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15
0.04294,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59
0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03
0.2909,0.0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16
2.33099,0.0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32
0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11
1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403,14.7,343.28,12.12
0.03041,0.0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56
14.3337,0.0,18.1,0,0.614,6.229,88.0,1.9512,24,666,20.2,383.32,13.11
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45
0.09065,20.0,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65
0.11504,0.0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18.0,391.83,11.34
0.17446,0.0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27
0.11329,30.0,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38
0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95
0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5
14.3337,0.0,18.1,0,0.7,4.88,100.0,1.5895,24,666,20.2,372.92,30.62
4.26131,0.0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67
0.09744,0.0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41
8.24809,0.0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74
1.25179,0.0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21.0,376.57,21.02
10.6718,0.0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98
0.03466,35.0,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,362.25,7.83
0.09512,0.0,12.83,0,0.437,6.286,45.0,4.5026,5,398,18.7,383.23,8.94
0.01778,95.0,1.47,0,0.403,7.135,13.9,7.6534,3,402,17.0,384.3,4.45
0.08707,0.0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27
0.82526,20.0,3.97,0,0.647,7.327,94.5,2.0788,5,264,13.0,393.42,11.25
0.17783,0.0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1
2.73397,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45
12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79
0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03
0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28
0.52014,20.0,3.97,0,0.647,8.398,91.5,2.2885,5,264,13.0,386.86,5.91
0.36894,22.0,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54
6.65492,0.0,18.1,0,0.713,6.317,83.0,2.7344,24,666,20.2,396.9,13.99
0.65665,20.0,3.97,0,0.647,6.842,100.0,2.0107,5,264,13.0,391.93,6.9
0.05083,0.0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68
5.66998,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73
0.18159,0.0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,396.9,6.87
0.10008,0.0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68
1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403,14.7,341.6,13.28
7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23
0.09266,34.0,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67
0.09068,45.0,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.1
0.07896,0.0,12.83,0,0.437,6.273,6.0,4.2515,5,398,18.7,394.92,6.78
0.01501,80.0,2.01,0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99
0.12757,30.0,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19
0.18337,0.0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97
0.07151,0.0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44
0.09252,30.0,4.93,0,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37
4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403,14.7,396.9,26.42
7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29
0.7857,20.0,3.97,0,0.647,7.014,84.6,2.1329,5,264,13.0,384.07,14.79
0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,396.9,7.6
0.32264,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9
2.01019,0.0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7
0.03551,25.0,4.86,0,0.426,6.167,46.7,5.4007,4,281,19.0,390.64,7.51
0.2896,0.0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14
3.53501,0.0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,88.01,15.02
8.98296,0.0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6
15.8744,0.0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08
0.21038,20.0,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85
0.38735,0.0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26
0.01381,80.0,0.46,0,0.422,7.875,32.0,5.6484,4,255,14.4,394.23,2.97
0.76162,20.0,3.97,0,0.647,5.56,62.8,1.9865,5,264,13.0,392.4,10.45
3.1636,0.0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,334.4,14.13
0.1396,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384,20.9,392.69,12.33
2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79
0.06129,20.0,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,377.07,3.01
5.29305,0.0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76
0.38214,0.0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,387.38,3.13
13.5222,0.0,18.1,0,0.631,3.863,100.0,1.5106,24,666,20.2,131.42,13.33
0.84054,0.0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21.0,303.42,16.51
0.04011,80.0,1.52,0,0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05
0.62739,0.0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21.0,395.62,8.47
0.14103,0.0,13.92,0,0.437,5.79,58.0,6.32,4,289,16.0,396.9,15.84
9.2323,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666,20.2,366.15,9.53
0.26363,0.0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55
0.03427,0.0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8
0.49298,0.0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54
0.67191,0.0,8.14,0,0.538,5.813,90.3,4.682,4,307,21.0,376.88,14.81
0.10153,0.0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97
0.15936,0.0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44
0.03578,20.0,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94
7.83932,0.0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22
0.21977,0.0,6.91,0,0.448,5.602,62.0,6.0877,3,233,17.9,396.9,16.2
67.9208,0.0,18.1,0,0.693,5.683,100.0,1.4254,24,666,20.2,384.97,22.98
22.5971,0.0,18.1,0,0.7,5.0,89.5,1.5184,24,666,20.2,396.9,31.99
0.11132,0.0,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,396.9,13.35
1.13081,0.0,8.14,0,0.538,5.713,94.1,4.233,4,307,21.0,360.17,22.6
0.07165,0.0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27
10.0623,0.0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69
0.17134,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76
4.34879,0.0,18.1,0,0.58,6.167,84.0,3.0334,24,666,20.2,396.9,16.29
0.0456,0.0,13.89,1,0.55,5.888,56.0,3.1121,5,276,16.4,392.8,13.51
0.55007,20.0,3.97,0,0.647,7.206,91.6,1.9301,5,264,13.0,387.89,8.1
0.43571,0.0,10.59,1,0.489,5.344,100.0,3.875,4,277,18.6,396.9,23.09
0.31827,0.0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,390.7,18.33
20.0849,0.0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14
0.26938,0.0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9
1.23247,0.0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21.0,396.9,18.72
0.24522,0.0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,396.9,15.94
0.47547,0.0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,396.23,12.73
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15
0.22438,0.0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33
1.62864,0.0,21.89,0,0.624,5.019,100.0,1.4394,4,437,21.2,396.9,34.41
0.05188,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86
0.07244,60.0,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79
0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.4
4.03841,0.0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87
0.19802,0.0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09
0.08873,21.0,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45
38.3518,0.0,18.1,0,0.693,5.453,100.0,1.4896,24,666,20.2,396.9,30.59
28.6558,0.0,18.1,0,0.597,5.155,100.0,1.5894,24,666,20.2,210.97,20.08
2.44668,0.0,19.58,0,0.871,5.272,94.0,1.7364,5,403,14.7,88.63,16.14
0.08221,22.0,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
8.71675,0.0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666,20.2,368.74,18.13
9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,376.11,20.31
3.8497,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27
0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315,16.4,392.89,6.57
0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254,17.6,389.25,6.05
0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
0.03705,20.0,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59
6.96215,0.0,18.1,0,0.7,5.713,97.0,1.9265,24,666,20.2,394.43,17.11
0.51183,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73
0.15876,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88
